id_hogar,renglon,pobreden,age_baseline,sex_baseline,state,village,cutoff,xraw,y,y_baseline,xnorm,xbin,bin_midpt
640080,3,1,16,female,3,300580128,759.35999,752,0,0,-7.3599854,9,-7.5
211195,6,1,11,female,3,300580096,759.35999,725,1,1,-34.359985,4,-32.5
404921,5,1,16,female,3,300550016,759.35999,728,1,1,-31.359985,4,-32.5
327511,5,1,14,female,3,301960000,759.35999,736,1,1,-23.359985,6,-22.5
632289,5,1,9,female,3,302030016,759.35999,742,1,1,-17.359985,7,-17.5
452331,3,1,16,male,3,300580096,759.35999,751,1,1,-8.3599854,9,-7.5
113997,2,1,7,female,3,300200032,759.35999,719,1,1,-40.359985,2,-42.5
646600,6,1,10,female,3,300580096,759.35999,733.5,1,1,-25.859985,5,-27.5
400682,3,1,14,male,3,300830112,759.35999,710,0,0,-49.359985,1,-47.5
401136,3,1,15,female,3,301550016,759.35999,725,0,1,-34.359985,4,-32.5
508440,3,1,12,female,3,300580096,759.35999,750,1,1,-9.3599854,9,-7.5
420252,3,1,9,male,3,300230144,759.35999,716,1,1,-43.359985,2,-42.5
404923,4,no pobre,15,female,3,300550016,759.35999,784,1,1,24.640015,15,22.5
409803,4,1,13,female,3,301550144,759.35999,724,0,1,-35.359985,3,-37.5
637906,5,1,9,female,3,300660032,759.35999,735,1,1,-24.359985,6,-22.5
514710,6,1,8,female,3,300580096,759.35999,735,1,0,-24.359985,6,-22.5
642930,4,1,15,male,3,300240000,759.35999,712,0,1,-47.359985,1,-47.5
411044,7,1,9,female,3,300580032,759.35999,734,1,1,-25.359985,5,-27.5
649620,4,1,14,female,3,300580128,759.35999,723,1,0,-36.359985,3,-37.5
400289,4,1,15,male,3,300550080,759.35999,754,0,0,-5.3599854,9,-7.5
649760,5,1,6,male,3,300580128,759.35999,712.5,1,1,-46.859985,1,-47.5
450178,3,1,13,male,3,300720032,759.35999,747,1,1,-12.359985,8,-12.5
