ID,YEAR,EXP,WKS,OCC,IND,SOUTH,SMSA,MS,FEM,UNION,ED,BLK,LWAGE
1,1976,3,32,0,0,1,0,1,0,0,9,0,5.5606799
1,1977,4,43,0,0,1,0,1,0,0,9,0,5.7203102
1,1978,5,40,0,0,1,0,1,0,0,9,0,5.9964499
1,1979,6,39,0,0,1,0,1,0,0,9,0,5.9964499
1,1980,7,42,0,1,1,0,1,0,0,9,0,6.06146
1,1981,8,35,0,1,1,0,1,0,0,9,0,6.17379
1,1982,9,32,0,1,1,0,1,0,0,9,0,6.2441702
2,1976,30,34,1,0,0,0,1,0,0,11,0,6.1633101
2,1977,31,27,1,0,0,0,1,0,0,11,0,6.2146101
2,1978,32,33,1,1,0,0,1,0,1,11,0,6.2634001
2,1979,33,30,1,1,0,0,1,0,0,11,0,6.54391
2,1980,34,30,1,1,0,0,1,0,0,11,0,6.6970301
2,1981,35,37,1,1,0,0,1,0,0,11,0,6.7912202
2,1982,36,30,1,1,0,0,1,0,0,11,0,6.81564
3,1976,6,50,1,1,0,0,1,0,1,12,0,5.6524901
3,1977,7,51,1,1,0,0,1,0,1,12,0,6.4361501
3,1978,8,50,1,1,0,0,1,0,1,12,0,6.5482202
3,1979,9,52,1,1,0,0,1,0,1,12,0,6.6025901
3,1980,10,52,1,1,0,0,1,0,1,12,0,6.6957998
3,1981,11,52,1,1,0,0,0,0,1,12,0,6.77878
3,1982,12,46,1,1,0,0,0,0,1,12,0,6.8606601
4,1976,31,52,1,0,0,1,0,1,0,10,1,6.15698
4,1977,32,46,1,0,0,1,0,1,0,10,1,6.2383199
4,1978,33,46,1,0,0,1,0,1,0,10,1,6.3007898
4,1979,34,49,1,0,0,1,0,1,0,10,1,6.35957
4,1980,35,44,1,0,0,1,0,1,0,10,1,6.4692502
4,1981,36,52,1,0,0,1,0,1,0,10,1,6.5624399
4,1982,37,46,1,0,0,1,0,1,0,10,1,6.6214099
5,1976,10,50,1,0,0,0,1,0,1,16,0,6.4377499
5,1977,11,46,1,0,0,0,1,0,1,16,0,6.62007
5,1978,12,40,1,0,0,0,1,0,1,16,0,6.6333199
5,1979,13,50,0,0,0,0,1,0,0,16,0,6.9828601
5,1980,14,47,1,0,0,1,1,0,0,16,0,7.0475202
5,1981,15,47,0,0,0,0,1,0,0,16,0,7.31322
5,1982,16,49,0,0,0,0,1,0,0,16,0,7.2957401
6,1976,26,44,1,1,0,1,1,0,0,12,0,6.9057498
6,1977,27,47,1,1,0,1,1,0,0,12,0,6.9057498
6,1978,28,47,1,1,0,1,1,0,0,12,0,6.9077601
6,1979,29,47,1,1,0,1,1,0,0,12,0,7.0030699
6,1980,30,44,1,1,0,1,1,0,0,12,0,7.0690198
6,1981,31,45,1,1,0,1,1,0,0,12,0,7.5202298
6,1982,32,47,1,1,0,1,1,0,0,12,0,7.3388901
7,1976,15,46,1,0,0,0,1,0,1,12,0,6.1334
7,1977,16,48,1,0,0,0,1,0,1,12,0,6.17379
7,1978,17,49,1,0,0,0,1,0,1,12,0,6.2126098
7,1979,18,46,1,0,0,0,1,0,1,12,0,6.31355
7,1980,19,47,1,0,0,0,1,0,1,12,0,6.37502
7,1981,20,47,1,0,0,0,1,0,1,12,0,6.4457202
7,1982,21,48,1,0,0,0,1,0,1,12,0,6.52209
8,1976,23,51,1,1,1,0,1,0,1,10,0,6.3315001
8,1977,24,50,1,1,1,0,1,0,1,10,0,6.4035702
8,1978,25,50,1,1,1,0,1,0,1,10,0,6.54391
8,1979,26,50,1,1,1,0,1,0,1,10,0,6.5624399
8,1980,27,44,1,1,0,1,1,0,1,10,0,6.59167
8,1981,28,51,1,1,0,1,1,0,1,10,0,6.8178301
8,1982,29,51,1,1,0,1,1,0,1,10,0,6.8916302
9,1976,3,50,0,0,1,1,1,0,0,16,0,6.5510802
9,1977,4,48,0,0,1,1,1,0,0,16,0,6.5510802
9,1978,5,50,0,0,1,1,1,0,0,16,0,6.8023901
9,1979,6,48,0,0,1,1,1,0,0,16,0,6.9077601
9,1980,7,48,0,0,1,1,1,0,0,16,0,7.0900798
9,1981,8,44,0,0,1,1,1,0,0,16,0,7.1701198
9,1982,9,48,0,0,1,1,1,0,0,16,0,7.20786
10,1976,3,49,0,0,1,1,1,0,0,16,0,6.3969302
10,1977,4,47,0,0,1,1,1,0,0,16,0,6.4377499
10,1978,5,46,0,0,1,1,1,0,0,16,0,6.4377499
10,1979,6,44,0,0,1,1,1,0,0,16,0,6.4377499
10,1980,7,43,0,0,1,1,1,0,0,16,0,6.52209
10,1981,8,34,0,0,1,1,1,0,0,16,0,6.61338
10,1982,9,40,0,0,1,1,1,0,0,16,0,6.7393398
11,1976,24,47,1,0,0,1,0,0,1,12,0,6.65801
11,1977,25,48,1,0,0,1,0,0,1,12,0,6.7262301
11,1978,26,45,1,0,0,1,0,0,1,12,0,6.8023901
11,1979,27,45,1,0,0,1,1,0,1,12,0,6.9077601
11,1980,28,47,1,0,0,1,1,0,1,12,0,7.03966
11,1981,29,17,1,0,0,1,1,0,1,12,0,7.1276898
11,1982,30,47,1,0,0,1,1,0,1,12,0,7.2442298
12,1976,21,47,1,0,1,1,1,0,1,12,0,6.5510802
12,1977,22,46,1,0,1,1,1,0,1,12,0,6.6293602
12,1978,23,47,1,0,1,1,1,0,1,12,0,6.72263
12,1979,24,47,1,0,1,1,1,0,1,12,0,6.7333999
12,1980,25,47,1,0,1,1,1,0,1,12,0,6.72263
12,1981,26,47,1,0,1,1,1,0,1,12,0,6.9517698
12,1982,27,46,1,0,1,1,1,0,1,12,0,7.0527201
13,1976,26,48,1,0,1,1,1,0,0,12,0,6.9057498
13,1977,27,48,1,0,1,1,1,0,0,12,0,6.9007301
13,1978,28,50,1,0,1,1,1,0,0,12,0,7.1701198
13,1979,29,48,1,0,1,1,1,0,0,12,0,7.26543
13,1980,30,48,1,0,1,1,1,0,0,12,0,7.25912
13,1981,31,46,0,0,1,1,1,0,0,12,0,7.25488
13,1982,32,46,1,0,1,1,1,0,0,12,0,7.4000101
14,1976,15,45,0,0,1,1,1,0,0,17,0,6.8023901
14,1977,16,45,0,0,1,1,1,0,0,17,0,6.8023901
14,1978,17,45,0,0,1,1,1,0,0,17,0,6.9256001
14,1979,18,44,0,0,1,1,1,0,0,17,0,7.0030699
14,1980,19,44,0,0,1,1,1,0,0,17,0,7.1308999
14,1981,20,44,0,0,1,1,1,0,0,17,0,7.1244798
14,1982,21,44,0,0,1,1,1,0,0,17,0,7.12287
15,1976,9,50,0,0,0,0,0,1,0,14,0,5.9401698
15,1977,10,46,0,0,0,0,0,1,0,14,0,5.8607898
15,1978,11,48,0,0,0,0,0,1,0,14,0,5.99894
15,1979,12,46,0,0,0,0,0,1,0,14,0,6.0844998
15,1980,13,48,0,0,0,0,0,1,0,14,0,6.3952599
15,1981,14,41,0,0,0,0,0,1,0,14,0,6.4769702
15,1982,15,48,0,0,0,0,0,1,0,14,0,6.4769702
16,1976,16,50,1,0,1,1,0,1,0,12,1,5.9788899
16,1977,17,50,1,0,1,1,0,1,0,12,1,5.7838302
16,1978,18,48,1,0,1,1,0,1,0,12,1,5.8579302
16,1979,19,48,1,0,1,1,0,1,0,12,1,5.9532399
16,1980,20,50,1,0,1,1,0,1,0,12,1,6.1463299
16,1981,21,50,1,0,1,1,0,1,0,12,1,6.1758699
16,1982,22,49,1,0,1,1,0,1,0,12,1,6.3885598
17,1976,16,49,0,1,0,0,1,0,0,14,0,6.62007
17,1977,17,48,0,1,0,0,1,0,0,14,0,6.49224
17,1978,18,49,0,1,0,0,1,0,0,14,0,6.7799201
17,1979,19,50,0,1,0,0,1,0,0,14,0,6.7452402
17,1980,20,51,0,1,0,0,1,0,0,14,0,7.0900798
17,1981,21,46,0,1,0,0,1,0,0,14,0,7.1308999
17,1982,22,47,0,1,0,0,1,0,0,14,0,7.1308999
18,1976,25,47,0,1,1,1,1,0,0,16,0,6.9057498
18,1977,26,46,0,1,1,1,1,0,0,16,0,6.9057498
18,1978,27,47,0,1,1,1,1,0,0,16,0,7.6009002
18,1979,28,47,0,1,1,1,1,0,0,16,0,7.6496902
18,1980,29,47,0,1,1,1,1,0,0,16,0,7.7186899
18,1981,30,48,0,1,1,1,1,0,0,16,0,7.7832198
18,1982,31,47,0,1,1,1,1,0,0,16,0,7.8038402
19,1976,40,37,1,1,0,1,1,0,1,12,0,6.3868799
19,1977,41,49,1,1,0,1,1,0,1,12,0,6.4738898
19,1978,42,50,1,1,0,1,1,0,1,12,0,6.54247
19,1979,43,47,1,1,0,1,1,0,1,12,0,6.6758199
19,1980,44,47,1,1,0,1,1,0,1,12,0,6.7417002
19,1981,45,25,1,1,0,1,1,0,1,12,0,6.8319502
19,1982,46,40,1,1,0,1,1,0,1,12,0,6.9363399
20,1976,25,50,0,0,0,0,1,0,0,16,0,6.78333
20,1977,26,49,0,1,0,0,1,0,0,16,0,6.8575101
20,1978,27,49,0,1,0,0,1,0,0,16,0,6.9847202
20,1979,28,48,0,1,0,0,1,0,0,16,0,7.0579
20,1980,29,48,0,1,0,0,1,0,0,16,0,7.2056398
20,1981,30,49,0,1,0,0,1,0,0,16,0,7.10988
20,1982,31,48,0,1,0,0,1,0,0,16,0,7.26683
21,1976,28,42,1,1,1,0,1,0,1,4,0,6.0591202
21,1977,29,46,1,1,1,0,1,0,1,4,0,6.0520902
21,1978,30,49,1,1,1,0,1,0,1,4,0,5.9914598
21,1979,31,49,1,1,1,0,1,0,1,4,0,6.2146101
21,1980,32,48,1,0,1,0,1,0,1,4,0,6.3243599
21,1981,33,45,1,0,1,0,1,0,1,4,0,6.4425402
21,1982,34,42,1,1,1,0,1,0,1,4,0,6.4425402
22,1976,20,46,0,0,0,0,1,0,0,14,0,6.5998702
22,1977,21,45,0,0,0,0,1,0,0,14,0,6.5998702
22,1978,22,44,0,0,0,0,1,0,0,14,0,6.6846099
22,1979,23,46,0,0,0,0,1,0,0,14,0,6.7274299
22,1980,24,47,0,0,0,0,1,0,0,14,0,6.8824401
22,1981,25,51,0,1,0,0,1,0,0,14,0,6.9565501
22,1982,26,47,0,0,0,0,1,0,0,14,0,7.0475202
23,1976,11,50,0,0,0,1,1,0,0,16,0,6.9057498
23,1977,12,50,0,0,0,1,1,0,0,16,0,6.9057498
23,1978,13,51,0,0,0,1,1,0,0,16,0,7.4955401
23,1979,14,50,0,0,0,1,1,0,0,16,0,7.66153
23,1980,15,48,0,0,0,1,1,0,0,16,0,7.8632698
23,1981,16,47,0,0,0,1,1,0,0,16,0,8.0391598
23,1982,17,50,0,0,0,1,1,0,0,16,0,7.8935699
24,1976,5,30,0,0,0,0,0,1,0,12,0,5.4380798
24,1977,6,51,0,0,0,0,0,1,0,12,0,5.5214601
24,1978,7,51,1,0,0,0,0,1,0,12,0,5.57973
24,1979,8,52,1,0,0,0,0,1,0,12,0,5.6698799
24,1980,9,49,1,0,0,0,0,1,0,12,0,5.7365699
24,1981,10,51,1,0,0,0,0,1,1,12,0,5.8435402
24,1982,11,50,1,0,0,0,0,1,0,12,0,5.8579302
25,1976,8,37,0,0,0,1,1,0,1,17,0,6.5294199
25,1977,9,39,0,0,0,1,1,0,1,17,0,6.5792499
25,1978,10,40,0,0,0,1,1,0,1,17,0,6.7153802
25,1979,11,38,0,0,0,1,1,0,1,17,0,6.6846099
25,1980,12,38,0,0,0,1,1,0,1,17,0,6.7912202
25,1981,13,39,0,0,0,1,1,0,1,17,0,6.97541
25,1982,14,41,0,0,0,1,1,0,1,17,0,6.9077601
26,1976,14,48,0,1,1,1,1,0,0,15,0,6.4769702
26,1977,15,47,1,1,1,1,1,0,0,15,0,6.5510802
26,1978,16,49,0,1,1,1,1,0,0,15,0,6.86693
26,1979,17,48,0,1,1,1,1,0,0,15,0,6.8564601
26,1980,18,47,0,1,1,1,1,0,0,15,0,7.2793198
26,1981,19,47,0,1,1,1,1,0,0,15,0,7.5496101
26,1982,20,48,0,1,1,1,1,0,0,15,0,7.3670802
27,1976,8,50,0,0,0,1,0,0,0,16,0,6.01616
27,1977,9,52,0,0,0,1,0,0,0,16,0,6.9057498
27,1978,10,48,0,0,0,0,0,0,0,16,0,7.0475202
27,1979,11,50,0,0,0,0,0,0,0,16,0,7.26193
27,1980,12,50,0,0,0,0,0,0,0,16,0,7.0900798
27,1981,13,45,0,0,0,0,0,0,0,16,0,6.9631901
27,1982,14,23,0,0,0,0,0,0,0,16,0,7.31322
28,1976,26,50,1,0,0,1,1,0,0,12,0,6.7333999
28,1977,27,50,1,0,0,1,1,0,0,12,0,6.6970301
28,1978,28,50,1,0,0,1,1,0,0,12,0,6.6846099
28,1979,29,50,1,0,0,1,1,0,0,12,0,6.7452402
28,1980,30,50,1,0,0,1,1,0,0,12,0,6.73102
28,1981,31,49,1,0,0,1,1,0,0,12,0,6.8023901
28,1982,32,49,1,0,0,1,1,0,0,12,0,6.7452402
29,1976,31,49,0,0,0,1,1,0,0,14,0,6.9057498
29,1977,32,49,0,0,0,1,1,0,0,14,0,6.9057498
29,1978,33,49,0,0,0,1,1,0,0,14,0,7.0621901
29,1979,34,49,0,0,0,1,1,0,0,14,0,7.5755801
29,1980,35,50,0,0,0,1,1,0,0,14,0,7.6732202
29,1981,36,49,0,0,0,1,1,0,0,14,0,7.4730701
